chid,chnm,bound_provenance,n_biofam_tested,n_biofam_active,n_biofam_separated,frac_tested_active,frac_tested_separated,family_loss
20450,Dicofol,estimated,39,33,14,0.8461538461538461,0.358974358974359,19
34764,Nicosulfuron,default,25,6,6,0.24,0.24,0
25080,Diisobutyl ketone,default,16,2,2,0.125,0.125,0
40360,"Ethyl 5,5-diphenyl-2-isoxazoline-3-carboxylate",default,24,12,12,0.5,0.5,0
35160,alpha-Ionone,default,16,1,1,0.0625,0.0625,0
25010,"1,3-Dichloro-2-propanol",default,37,6,6,0.16216216216216217,0.16216216216216217,0
25567,Methyl 2-aminobenzoate,default,36,4,4,0.1111111111111111,0.1111111111111111,0
23996,Cyclohexylamine,default,36,2,2,0.05555555555555555,0.05555555555555555,0
29162,"3-Bromo-1-chloro-5,5-dimethylhydantoin",default,16,6,6,0.375,0.375,0
25110,"2,5-Dimethyl-2,5-di-(tert-butylperoxy)hexane",default,36,6,6,0.16666666666666666,0.16666666666666666,0
41530,"7-Ethyl-2-methyl-4-undecanolsulfate, sodium salt",default,17,6,6,0.35294117647058826,0.35294117647058826,0
20359,Cyclohexanone,default,36,6,6,0.16666666666666666,0.16666666666666666,0
27454,"N,N-Dimethylacetoacetamide",default,16,2,2,0.125,0.125,0
41379,"2,6-Di-tert-butyl-4-methoxyphenol",estimated,17,8,3,0.47058823529411764,0.17647058823529413,5
34303,Fluroxypyr-meptyl,estimated,36,19,6,0.5277777777777778,0.16666666666666666,13
21254,Safrole,default,37,6,6,0.16216216216216217,0.16216216216216217,0
20591,Ethyl methylphenylglycidate,default,15,4,4,0.26666666666666666,0.26666666666666666,0
