chid,casn,chnm,n_tested,n_active,n_selective,n_biofamilies_active,n_biofamilies_selective,family_loss
903880,NOCAS_903880,EPAMED_Water_Set5-21,82,0,0,0,0,0
903879,NOCAS_903879,EPAMED_Water_Set5-20,82,0,0,0,0,0
903865,NOCAS_903865,EPAMED_Water_Set5-6,82,0,0,0,0,0
903864,NOCAS_903864,EPAMED_Water_Set5-5,82,0,0,0,0,0
59971,422-85-5,1-Bromoheptafluoropropane,81,0,0,0,0,0
1351484,NOCAS_1351484,Propylparaben; 2-(Phenylmethylene)octanal (33:67),81,16,16,2,2,0
44812,2517-43-3,3-Methoxybutan-1-ol,349,11,11,2,2,0
1339556,NOCAS_1339556,AFFF Solberg F1 (0.33X) + F2 (0.33X) + F3 (0.33X),81,9,9,2,2,0
1339559,NOCAS_1339559,AFFF Solberg F2(0.5X) + F3(0.5X),81,7,7,2,2,0
903852,NOCAS_903852,EPAMED_Water_Set4-28,81,0,0,0,0,0
903853,NOCAS_903853,EPAMED_Water_Set4-29,81,0,0,0,0,0
903828,NOCAS_903828,EPAMED_Water_Set4-4,81,1,1,1,1,0
903854,NOCAS_903854,EPAMED_Water_Set4-30,81,1,1,1,1,0
903855,NOCAS_903855,EPAMED_Water_Set4-41,81,0,0,0,0,0
903856,NOCAS_903856,EPAMED_Water_Set4-42,81,0,0,0,0,0
47583,423-39-2,Nonafluoro-1-iodobutane,81,0,0,0,0,0
903857,NOCAS_903857,EPAMED_Water_Set4-43,81,0,0,0,0,0
1351789,NOCAS_1351789,2-(Phenylmethylene)octanal; Butylated hydroxytoluene (67:33),81,25,25,2,2,0
1351790,NOCAS_1351790,Citric acid; Butylated hydroxytoluene (33:67),81,19,19,2,2,0
1351788,NOCAS_1351788,2-(Phenylmethylene)octanal; Butylated hydroxytoluene (33:67),81,23,23,2,2,0
1351787,NOCAS_1351787,Propylparaben; Butylated hydroxytoluene (67:33),81,6,6,1,1,0
1351786,NOCAS_1351786,Propylparaben; Butylated hydroxytoluene (33:67),81,23,23,2,2,0
1351485,NOCAS_1351485,Propylparaben; 2-(Phenylmethylene)octanal (67:33),81,10,10,1,1,0
1351798,NOCAS_1351798,Propylparaben; Bisphenol A (50:50),81,9,9,2,2,0
1351794,NOCAS_1351794,Dodecanoic acid; Propylparaben (33:67),81,4,4,2,2,0
1351795,NOCAS_1351795,1-Phenyl-3-methyl-5-pyrazolone; Propylparaben (33:67),81,4,4,1,1,0
1351796,NOCAS_1351796,1-Phenyl-3-methyl-5-pyrazolone; Propylparaben (67:33),81,5,5,2,2,0
903840,NOCAS_903840,EPAMED_Water_Set4-16,81,2,2,2,2,0
903839,NOCAS_903839,EPAMED_Water_Set4-15,81,2,2,2,2,0
1351791,NOCAS_1351791,Citric acid; Butylated hydroxytoluene (67:33),81,5,5,1,1,0
1351793,NOCAS_1351793,Dodecanoic acid; Propylparaben (67:33),81,5,5,2,2,0
903842,NOCAS_903842,EPAMED_Water_Set4-18,81,1,1,1,1,0
903850,NOCAS_903850,EPAMED_Water_Set4-26,81,1,1,1,1,0
903849,NOCAS_903849,EPAMED_Water_Set4-25,81,1,1,1,1,0
903848,NOCAS_903848,EPAMED_Water_Set4-24,81,0,0,0,0,0
903847,NOCAS_903847,EPAMED_Water_Set4-23,81,2,2,1,1,0
903846,NOCAS_903846,EPAMED_Water_Set4-22,81,3,3,2,2,0
903826,NOCAS_903826,EPAMED_Water_Set4-2,81,3,3,1,1,0
903843,NOCAS_903843,EPAMED_Water_Set4-19,81,2,2,2,2,0
903834,NOCAS_903834,EPAMED_Water_Set4-10,81,3,3,2,2,0
903837,NOCAS_903837,EPAMED_Water_Set4-13,81,3,3,2,2,0
38840,17527-29-6,(Perfluorohexyl)ethyl acrylate,81,3,3,2,2,0
903851,NOCAS_903851,EPAMED_Water_Set4-27,81,1,1,1,1,0
1339555,NOCAS_1339555,AFFF Solberg F3 (1X),81,5,5,2,2,0
1339554,NOCAS_1339554,AFFF Solberg F2 (1X),81,6,6,2,2,0
1339553,NOCAS_1339553,AFFF Solberg F1 (1X),81,15,15,2,2,0
1339551,NOCAS_1339551,AFFF Solberg Unfractionated (1X),81,27,27,2,2,0
47753,198-55-0,Perylene,84,2,2,1,1,0
52710,41318-75-6,"2,4,4'-Tribromodiphenyl ether",84,0,0,0,0,0
52682,1576-67-6,"3,6-Dimethylphenanthrene",81,6,6,2,2,0
41284,34455-29-3,6:2 Fluorotelomer sulfonamide betaine,81,9,9,2,2,0
1339598,NOCAS_1339598,AFFF Solberg F3 blank,81,1,1,1,1,0
1339595,NOCAS_1339595,AFFF Solberg F2 blank,81,0,0,0,0,0
1339593,NOCAS_1339593,AFFF Solberg F1 blank,81,3,3,1,1,0
1339560,NOCAS_1339560,AFFF Solberg H20 blank,81,0,0,0,0,0
52693,207122-16-5,"2,2',3,4,4',5',6-Heptabromodiphenyl ether",81,0,0,0,0,0
52689,189084-64-8,"2,2',4,4',6-Pentabromodiphenyl ether",81,0,0,0,0,0
1339557,NOCAS_1339557,AFFF Solberg F1 (0.5X) +  F2 (0.5X),81,14,14,2,2,0
1351807,NOCAS_1351807,Butylated hydroxytoluene; Bexarotene (50:50),81,20,20,2,2,0
1351805,NOCAS_1351805,2-(Phenylmethylene)octanal; Bexarotene (50:50),81,24,24,2,2,0
1351804,NOCAS_1351804,2-(Phenylmethylene)octanal; Pioglitazone hydrochloride (50:50),81,11,11,2,2,0
1351803,NOCAS_1351803,2-(Phenylmethylene)octanal and Triclosan (50:50),81,26,26,2,2,0
1351806,NOCAS_1351806,Citric acid; Bexarotene (50:50),81,22,22,2,2,0
1351802,NOCAS_1351802,2-(Phenylmethylene)octanal; Bisphenol A (50:50),81,19,19,2,2,0
1351801,NOCAS_1351801,Propylparaben; Rifampicin (50:50),81,5,5,2,2,0
1351799,NOCAS_1351799,Propylparaben and Triclosan (50:50),81,26,26,2,2,0
903825,NOCAS_903825,EPAMED_Water_Set4-1,81,2,2,1,1,0
903831,NOCAS_903831,EPAMED_Water_Set4-7,81,2,2,2,2,0
903829,NOCAS_903829,EPAMED_Water_Set4-5,81,1,1,1,1,0
903859,NOCAS_903859,EPAMED_Water_Set4-45,81,0,0,0,0,0
903858,NOCAS_903858,EPAMED_Water_Set4-44,81,0,0,0,0,0
